2018-07-25 20:34:44 parsl.dataflow.dflow:78 [INFO]  Parsl version: 0.6.1
2018-07-25 20:34:44 parsl.dataflow.dflow:79 [INFO]  Libsubmit version: 0.5.0
2018-07-25 20:34:44 parsl.dataflow.usage_tracking.usage:126 [DEBUG]  Tracking status: True
2018-07-25 20:34:44 parsl.dataflow.usage_tracking.usage:127 [DEBUG]  Testing mode   : False
2018-07-25 20:34:44 parsl.dataflow.dflow:95 [INFO]  Run id is: /usr/local/lib/python3.5/dist-packages/parsl/dataflow/dflow.py-34
2018-07-25 20:34:44 parsl.dataflow.memoization:52 [INFO]  App caching initialized
2018-07-25 20:34:44 parsl.dataflow.strategy:122 [DEBUG]  Scaling strategy: simple
2018-07-25 20:34:48 parsl.dataflow.dflow:565 [INFO]  Task 0 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:34:48 parsl.dataflow.dflow:363 [INFO]  Task 0 launched on executor threads
2018-07-25 20:34:48 parsl.dataflow.dflow:586 [DEBUG]  Task 0 launched with AppFuture: <AppFuture at 0x7fd05b39b3c8 state=running>
2018-07-25 20:34:48 parsl.dataflow.dflow:565 [INFO]  Task 1 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:34:48 parsl.dataflow.dflow:363 [INFO]  Task 1 launched on executor threads
2018-07-25 20:34:48 parsl.dataflow.dflow:586 [DEBUG]  Task 1 launched with AppFuture: <AppFuture at 0x7fd05b39b5f8 state=running>
2018-07-25 20:34:48 parsl.dataflow.dflow:565 [INFO]  Task 2 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:34:48 parsl.dataflow.dflow:363 [INFO]  Task 2 launched on executor threads
2018-07-25 20:34:48 parsl.dataflow.dflow:586 [DEBUG]  Task 2 launched with AppFuture: <AppFuture at 0x7fd05b39b780 state=pending>
2018-07-25 20:34:48 parsl.dataflow.dflow:565 [INFO]  Task 3 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:34:48 parsl.dataflow.dflow:363 [INFO]  Task 3 launched on executor threads
2018-07-25 20:34:48 parsl.dataflow.dflow:586 [DEBUG]  Task 3 launched with AppFuture: <AppFuture at 0x7fd05b39b908 state=pending>
2018-07-25 20:34:48 parsl.dataflow.dflow:565 [INFO]  Task 4 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:34:48 parsl.dataflow.dflow:363 [INFO]  Task 4 launched on executor threads
2018-07-25 20:34:48 parsl.dataflow.dflow:586 [DEBUG]  Task 4 launched with AppFuture: <AppFuture at 0x7fd05b39bac8 state=pending>
2018-07-25 20:34:48 parsl.dataflow.dflow:565 [INFO]  Task 5 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:34:48 parsl.dataflow.dflow:363 [INFO]  Task 5 launched on executor threads
2018-07-25 20:34:48 parsl.dataflow.dflow:586 [DEBUG]  Task 5 launched with AppFuture: <AppFuture at 0x7fd05b39bc88 state=pending>
2018-07-25 20:34:48 parsl.dataflow.dflow:565 [INFO]  Task 6 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:34:48 parsl.dataflow.dflow:363 [INFO]  Task 6 launched on executor threads
2018-07-25 20:34:48 parsl.dataflow.dflow:586 [DEBUG]  Task 6 launched with AppFuture: <AppFuture at 0x7fd05b39be10 state=pending>
