2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 15 launched with AppFuture: <AppFuture at 0x7f1377907ef0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 16 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 16 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 16 launched with AppFuture: <AppFuture at 0x7f13778891d0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 17 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 17 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 17 launched with AppFuture: <AppFuture at 0x7f13778890f0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 18 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 18 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 18 launched with AppFuture: <AppFuture at 0x7f1377889438 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 19 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 19 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 19 launched with AppFuture: <AppFuture at 0x7f1377889780 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 20 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 20 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 20 launched with AppFuture: <AppFuture at 0x7f1377889d30 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 21 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 21 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 21 launched with AppFuture: <AppFuture at 0x7f1377889128 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 22 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 22 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 22 launched with AppFuture: <AppFuture at 0x7f13778897f0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 23 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 23 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 23 launched with AppFuture: <AppFuture at 0x7f1377889dd8 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 24 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 24 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 24 launched with AppFuture: <AppFuture at 0x7f137788b160 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 25 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 25 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 25 launched with AppFuture: <AppFuture at 0x7f137788b5c0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 26 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 26 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 26 launched with AppFuture: <AppFuture at 0x7f137788b9e8 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 27 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 27 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 27 launched with AppFuture: <AppFuture at 0x7f137788bc88 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 28 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 28 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 28 launched with AppFuture: <AppFuture at 0x7f137788be80 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 29 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 29 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 29 launched with AppFuture: <AppFuture at 0x7f137788b198 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 30 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 30 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 30 launched with AppFuture: <AppFuture at 0x7f137788b550 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 31 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 31 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 31 launched with AppFuture: <AppFuture at 0x7f137788b9b0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 32 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 32 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 32 launched with AppFuture: <AppFuture at 0x7f13778820b8 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 33 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 33 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 33 launched with AppFuture: <AppFuture at 0x7f13778822b0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 34 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 34 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 34 launched with AppFuture: <AppFuture at 0x7f13778824a8 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 35 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 35 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 35 launched with AppFuture: <AppFuture at 0x7f13778826a0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 36 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 36 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 36 launched with AppFuture: <AppFuture at 0x7f1377882978 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 37 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 37 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 37 launched with AppFuture: <AppFuture at 0x7f1377882cf8 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 38 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 38 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 38 launched with AppFuture: <AppFuture at 0x7f1377882f28 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 39 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 39 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 39 launched with AppFuture: <AppFuture at 0x7f1377882cc0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 40 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 40 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 40 launched with AppFuture: <AppFuture at 0x7f137780a2b0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 41 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 41 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 41 launched with AppFuture: <AppFuture at 0x7f137780a4e0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 42 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 42 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 42 launched with AppFuture: <AppFuture at 0x7f137780a748 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 43 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 43 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 43 launched with AppFuture: <AppFuture at 0x7f137780a978 state=pending>
