,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
18,fCO2ATM_UATM_INTERPOLATED [uatm],12,Time,1,xCO2  Air (wet) (umol/mol),146,SMG,2,Longitude [deg E],57,Hum(%),47,YD_UTC,372,20081204PRINUNIVRMKPRINUNIVRMK,4,D_fCO2 [uatm],7,0.0,0.0,FCO2_AIR,472,hour [UTC],13,CASTNO,78,DATE_MM/DD/YYYY,91,T-P,3
19,DFCO2_UATM [uatm],12,NH4 [umol/kg],1,xCO2  SW (dry) (umol/mol),146,TWD#3,2,Atm. Pressure [mbar],57,Eq Temp cal,47,Group,321,20110314JAMSTECRIGC,4,SD_XCO2_DRY_AIR [ppm],7,0.0,0.0,AIR_TMP,463,equ_temp [degC],13,OXYGEN_FLAG_W,77,QC_FLAG,86,LONG,3
20,xCO2ATM_PPM_INTERPOLATED [ppm],12,PON [ug/L],1,fCO2  Air (sat) uatm,146,STNID,2,EXPOCODE,49,Air fCO2 cal,47,Cruise ID,251,20020606WHPSIOSA,4,SEA_SURFACE_TEMPERATURE [degr C],7,0.0,0.0,FCO2_EQ,461,atm_pres [mbar],13,TIME,75,xCO2a_ppm,80,N02,3
21,WindDirn_True [degrees],12,Nominal Depth [m] ,1,xCO2  SW (wet) (umol/mol),146,COG,2,  SST [deg C],40,Air pCO2 cal,47,JD_GMT,171,20020620WHPSIOKJU,3,SD_XCO2_DRY_SW [ppm],7,0.0,0.0,FCO2_WAT,448,latitude [degN],13,SALNTY_FLAG_W,74,Cruise,80,TR,3
22,WOCE_QC_FLAG,12,Type,1,Licor Atm Pressure  (hPa),145,CMG,2,Latitude,25,Eq. Press(hPa),47,Ship,149,20080605JAMSTEC,3,XCO2_DRY_AIR [ppm],7,0.0,0.0,XCO2_AIR_FLAG,437,IS_temp [degC],13,PHSPHT_FLAG_W,73,fCO2a_uatm,80,BOTTOM DEPTH,3
23,fCO2SW_UATM [uatm],12,O18 [permil VSMOW],1,SST,130,TWD#1,2,Salinity [psu],21,Solar Radiation (W/m2),47,Group_Ship,124,20040202WHPSIOSA,3,SALINITY_WOCE_FLAG,7,0.0,0.0,DEL_XCO2,434,windspeed_tru [m/s],13,BTLNBR_FLAG_W,69,EqTemp_C,80,DATE,3
24,Long [decimal],12,Latitude [degrees_north],1,SSS,129,1101,1,xCO2_atm_dry_actual [umol/mol],21,Sal verified,47,EXPOCODE,115,20100520MIRCJHATS,3,EQUILIBRATOR_PRESSURE [kPa],7,0.0,0.0,SHIP_SPEED,433,IS_sal,13,NITRAT,66,dfCO2_uatm,78,SiO4,3
25,LAT_dec_degree,12,Cruise,1,% O2,125,16-Feb-11,1,SST [degC],21,Rel WV(m/s),47,DATE_UTC_ddmmyyyy,47,20120718PRINUNIVRMK,3,EQUILIBRATOR_TEMPERATURE [degr C],7,0.0,0.0,HUMIDITY,431,Expocode,7,SAMPNO,65,fCO2w@SST_uatm,72,CHL,3
26,Press_ATM [hPa],12,DOC [mmol/L],1,Cruise,72,Ross Sea Research,1,pCO2_atm_wet_actual [uatm],21,Ambient Temp,47,Cruise_ID,43,20030219WHPSIOdm,3,LONGITUDE [degr],7,0.0,0.0,FCO2_SST,431,PI,7,NITRAT_FLAG_W,63,Pres_sealevel_mB,70,SL,2
27,SAL [psu],12,QF Note,1,Ship,71,GV air (09),1,xCO2_water_Tequ_dry [umol/mol],21,Ship Speed(kt),47,LAT_DEC_DEGREE,32,20001102WHPSIOJJW,3,XCO2_DRY_SW [ppm],7,0.0,0.0,SOLAR_RAD,431,Filename,7,CTDSAL,60,Date,70,Sl.,2
28,LICOR_flow [mLPM],12,CTD Fluor [mg/m^3] calibrated,1,Mooring,60,RPS Tech,1,wind_speed_true [m/s],21,SST cal,47,xCO2_ATM_ppm_measured,32,20090818MIRCJHATS,3,DISSOLVED_OXYGEN_WOCE_FLAG,6,0.0,0.0,ABSOLUTE_WIND_SPEED,431,Ship name,7,CTDSAL_FLAG_W,57,Latitude,70,# 14 th january 2012,1
29,H2O_flow [LPM],12,Alk [umol/kg],1,H2O_AIR,59,19-Jan-11,1,pCO2_water_SST_wet [uatm],21,Atmos. RM Press cal (hPa),47,Press_EQU_hPa,32,20091216PRINUNIVRMK,3,SD_DISSOLVED_OXYGEN [umol/l],6,0.0,0.0,REL_WIND_SPEED,431,0.0,0.0,SECT,41,Pres_Equil_mB,70,"PI: Dr. Melissa Chierici, Sr. scientist, IMR, Norway
# Ship: GM Dannevig
# Area: North Sea
# Repeated section: Torungen-Hirtshals
SHIP,DATE,STATION,LATITUDE,LONGITUDE,DEPTH,CYTSAL,CTDTMP,ALKALI,TCARBN,
,,,,,M,,DEG_C,UMOL/KG,UMOL/KG,
GM Dannevig,1/14/2012,200,58.40,8.77,125,34.15,7.538,2307.5,2126.5,
GM Dannevig,1/14/2012,205,58.33,8.90,10,31.89,5.365,2265.7,2106.2,
GM Dannevig,1/14/2012,205,58.33,8.90,50,34.51,7.444,2320.4,2139.2,
GM Dannevig,1/14/2012,205,58.33,8.90,100,34.56,7.331,2324.6,2142.4,
GM Dannevig,1/14/2012,205,58.33,8.90,200,34.60,7.403,2324.2,2147.6,
GM Dannevig,1/14/2012,215,58.20,9.08,10,33.24,6.256,2275.1,2105.3,
GM Dannevig,1/14/2012,215,58.20,9.08,50,34.99,9.052,2295.8,2127.1,
GM Dannevig,1/14/2012,215,58.20,9.08,100,35.15,8.891,2328.9,2155.6,
GM Dannevig,1/14/2012,215,58.20,9.08,200,35.18,7.598,2329.0,2168.7,
GM Dannevig,1/14/2012,215,58.20,9.08,400,35.15,6.033,2331.0,2180.3,
GM Dannevig,1/14/2012,220,58.13,9.18,10,34.99,6.029,-999.0,2090.4,
GM Dannevig,1/14/2012,220,58.13,9.18,50,35.00,8.747,2334.5,2145.9,
GM Dannevig,1/14/2012,220,58.13,9.18,100,35.00,7.805,2324.1,2138.4,
GM Dannevig,1/14/2012,220,58.13,9.18,200,35.15,7.849,2335.5,2170.5,
GM Dannevig,1/14/2012,220,58.13,9.18,600,35.16,6.030,2336.0,2181.5,
GM Dannevig,1/14/2012,230,58.00,9.37,10,32.72,6.050,2264.8,2127.4,
GM Dannevig,1/14/2012,230,58.00,9.37,50,35.00,8.999,2328.8,2152.8,
GM Dannevig,1/14/2012,230,58.00,9.37,100,35.09,8.480,2325.4,2153.9,
GM Dannevig,1/14/2012,230,58.00,9.37,200,35.20,8.356,2330.2,2159.7,
GM Dannevig,1/14/2012,230,58.00,9.37,400,35.16,6.520,2334.4,2182.6,
",1
30,Date [yyyymmdd],12,Station Name,1,xCO2_Air_dry,59,RVIB N. B. Palmer 11/1,1,Equilibrator Temperature [degC],21,Air xCO2 cal,47,Year_Fractional,32,20091209MIRCJHATS,3,DISSOLVED_OXYGEN [umol/l],6,0.0,0.0,PCO2_AIR_FLAG,431,0.0,0.0,NITRIT,32,Time,70,SAL,1
31,xCO2ATM_PPM [ppm],12,yyyy-mm-dd hh:mm,1,xCO2_Air_wet,59,BAROMB,1,silicate,21,Abs WV(m/s),47,QC_flag,32,20160204PRINUNIVRMK,3,0.0,0.0,0.0,0.0,AIR_FCO2_FLAG,431,0.0,0.0,NITRIT_FLAG_W,28,Group,70,Sal.,1
